,Predicted output,Actual output
0,0.040414423,0.046041551
1,0.0110376775,0.011926358
2,0.16294876,0.164413981
3,0.013245344,0.009710408
4,0.2507353,0.249543647
5,0.14109018,0.101332729
6,0.026374727,0.018664744
7,0.012316227,0.011466439
8,0.008121163,0.00700312
9,0.010732651,0.014646312
10,0.019251019,0.015782598
11,0.41012073,0.467275758
12,0.0548746,0.025801255
13,0.15711749,0.128831931
14,0.021881163,0.038577493
15,0.07224482,0.048751841
16,0.061737,0.03600227
17,0.004349053,0.010163472
18,0.048694313,0.032816962
19,0.3438962,0.36759887
20,0.0074732006,0.005100786
21,0.02444604,0.015141131
22,0.0074732006,0.004524578
23,0.097070366,0.09416762
24,0.0070403516,0.013977516
25,0.006629646,0.020046824
26,0.020373434,0.026632069
27,0.08634326,0.104079333
28,0.18153596,0.234554517
29,0.020230353,0.023519999
30,0.010475904,0.009750277
31,0.10883194,0.148171084
32,0.010421485,0.014609752
33,0.07630524,0.079010974
34,0.06759468,0.055338774
35,0.012331605,0.013543347
36,0.01670447,0.013235887
37,0.06345871,0.039852525
38,0.107010424,0.088223056
39,0.6470661,0.572837936
40,0.10813144,0.156279999
41,0.010256201,0.012784683
42,0.009288371,0.014948469
43,0.093054056,0.114024041
44,0.067935765,0.045745451
45,0.05648315,0.058554198
46,0.024612695,0.019241705
47,0.013276637,0.01142222
48,0.06943485,0.074507538
49,0.010852575,0.016373955
50,0.028753102,0.025546079
51,0.11244565,0.135630064
52,0.07138291,0.056763339
53,0.07476479,0.075065072
54,0.020336002,0.013223913
55,0.023726106,0.024331441
56,0.019460559,0.022708481
57,0.06612015,0.069727626
58,0.40644354,0.372016667
59,0.012902081,0.008860926
60,0.3012438,0.340580294
61,0.006168276,0.009760056
62,0.008867472,0.008126349
63,0.0058861673,0.00780694
64,0.09197411,0.075926133
65,0.016400784,0.017003316
66,0.1443454,0.139086988
67,0.034510642,0.048195723
68,0.047739506,0.042746419
69,0.50893444,0.526206361
70,0.039761394,0.033529386
71,0.010732651,0.009079731
72,0.007866621,0.006103153
73,0.15711749,0.15744979
74,0.0378969,0.033657523
75,0.069351226,0.044955224
76,0.41192764,0.479180049
77,0.025425315,0.022443642
78,0.022029608,0.025525364
79,0.03508371,0.033399598
80,0.081355214,0.066291115
81,0.021340162,0.014135088
82,0.0058558583,0.006781876
83,0.0050091743,0.010226025
84,0.067557484,0.074654605
85,0.010024518,0.017307156
86,0.033499718,0.027210698
87,0.0668906,0.090610497
88,0.020507663,0.030552028
89,0.008814782,0.009757191
90,0.046770662,0.045790932
91,0.092245996,0.081867719
92,0.005978346,0.010849223
93,0.0570893,0.041614021
94,0.012220681,0.013865361
95,0.0074732006,0.007276601
96,0.07046461,0.060117244
97,0.023393571,0.013374783
98,0.034747124,0.030900845
99,0.01675579,0.018385542
100,0.009931773,0.011597646
101,0.047290146,0.06296156
102,0.013184816,0.012394041
103,0.013897061,0.015695123
104,0.062308043,0.063683276
105,0.008814782,0.012222603
106,0.015559554,0.016745314
107,0.33041018,0.32793655
108,0.080537975,0.076827877
109,0.117126524,0.095405219
110,0.061368972,0.076582513
111,0.065638244,0.071475586
112,0.009693891,0.011041925
113,0.07443333,0.059614879
114,0.012211144,0.019079089
115,0.004853517,0.006502678
116,0.048377275,0.050551108
117,0.028258145,0.022087426
118,0.013245344,0.013054897
119,0.008905143,0.010886873
120,0.07053128,0.045168276
121,0.11009422,0.08063107
122,0.007542819,0.011398868
123,0.027240068,0.028214232
124,0.009786606,0.018134981
125,0.019006968,0.01545862
126,0.012225777,0.01939943
127,0.04869646,0.038819784
128,0.36320573,0.449194276
129,0.13732553,0.090990442
130,0.027109772,0.023357875
131,0.071864516,0.08144473
132,0.053061813,0.05391172
133,0.13151985,0.152910764
134,0.004476279,0.008329469
135,0.35917062,0.348827879
136,0.01685512,0.023025037
137,0.023703873,0.015163607
138,0.0074732006,0.004622946
139,0.014850408,0.012712692
140,0.043827295,0.037157975
141,0.107014805,0.121085122
142,0.010480344,0.011609149
143,0.0145736635,0.011833987
144,0.023604304,0.029266217
145,0.094518095,0.071030133
146,0.0044779778,0.011746908
147,0.03402731,0.029549093
148,0.08573362,0.139291592
149,0.09552866,0.049038048
150,0.022349358,0.026330556
151,0.10999411,0.092252104
152,0.08583525,0.070956527
153,0.04662347,0.031476032
154,0.0074732006,0.004528713
155,0.021832526,0.021317921
156,0.008259207,0.008776906
157,0.006911427,0.006863056
